gene_id	gene_name
FBgn0035710	SP1173
FBgn0035711	CG8519
FBgn0005626	ple
FBgn0265716	lncRNA:CR44523
FBgn0266966	lncRNA:CR45417
FBgn0261934	dikar
FBgn0035713	velo
FBgn0035714	CG8549
FBgn0035715	CG10103
FBgn0052392	CG32392
FBgn0267323	lncRNA:CR45759
FBgn0086680	vvl
FBgn0266590	lncRNA:CR45115
FBgn0266965	lncRNA:CR45416
FBgn0041194	Prat2
FBgn0266962	CG45413
FBgn0035718	CG14820
FBgn0266964	lncRNA:CR45415
FBgn0266963	lncRNA:CR45414
FBgn0266961	lncRNA:CR45412
FBgn0035719	tow
FBgn0035720	CG10077
FBgn0035721	CG9948
FBgn0035722	CG10075
FBgn0029117	Surf1
FBgn0261445	sgl
FBgn0035724	CG10064
FBgn0035725	Mis12
FBgn0035726	CG9953
FBgn0035727	CG10063
FBgn0001104	Galphai
FBgn0047205	lncRNA:CR32385
FBgn0267662	lncRNA:CR46000
FBgn0250849	CG32388
FBgn0263387	CG43439
FBgn0045759	bin
FBgn0260660	Mp
FBgn0035730	CG17744
FBgn0267482	asRNA:CR45832
FBgn0035733	CG8641
FBgn0035734	CG14823
FBgn0052391	CG32391
FBgn0054030	CG34030
FBgn0035735	Cpr65Ea
FBgn0035736	Cpr65Eb
FBgn0035737	Cpr65Ec
FBgn0053556	form3
FBgn0002775	msl-3
FBgn0035741	BBS1
FBgn0035742	Acbp4
FBgn0035743	Acbp6
FBgn0250836	Acbp3
FBgn0010387	Acbp2
FBgn0023001	melt
FBgn0259173	corn
FBgn0040837	CG8620
FBgn0265296	Dscam2
FBgn0266959	lncRNA:CR45410
FBgn0035750	CG14826
FBgn0035751	CG14829
FBgn0261111	BHD
FBgn0035753	RpL18
FBgn0024542	Neos
FBgn0028648	mRpL50
FBgn0016036	mei-P22
FBgn0012058	Cdc27
FBgn0035754	MED4
FBgn0263447	asRNA:CR43470
FBgn0035755	CG14830
FBgn0035756	unc-13-4A
FBgn0035760	CG8607
FBgn0035761	RhoGEF4
FBgn0035762	Rint1
FBgn0035763	mrva
FBgn0259203	CG42307
FBgn0002909	mus312
FBgn0264302	CG43780
FBgn0264303	CG43781
FBgn0035766	eco
FBgn0011640	lark
FBgn0035767	Cln7
FBgn0035768	CG14834
FBgn0015298	Srp19
FBgn0019662	qm
FBgn0267483	lncRNA:CR45833
FBgn0035769	CTCF
FBgn0267472	asRNA:CR45822
FBgn0035770	pst
FBgn0035771	Sec63
FBgn0267485	asRNA:CR45835
FBgn0035772	Sh3beta
FBgn0082598	akirin
FBgn0052380	SMSr
FBgn0016983	smid
FBgn0035776	CG8564
FBgn0035777	CG8563
FBgn0052379	CG32379
FBgn0035779	CG8562
FBgn0035780	CG18417
FBgn0035781	CG8560
FBgn0063083	lncRNA:CR33948
FBgn0265718	lncRNA:CR44525
FBgn0259935	CG42458
FBgn0014011	Rac2
FBgn0035782	CG14835
FBgn0052383	sphinx1
FBgn0052382	sphinx2
FBgn0053278	CG33278
FBgn0035785	ppk26
FBgn0261537	CG42661
FBgn0035786	Tsp66A
FBgn0261536	CG42660
FBgn0035787	CG8543
FBgn0035788	CG8541
FBgn0262984	CG43292
FBgn0035789	mthl6
FBgn0035790	Cyp316a1
FBgn0015033	Cyp4d8
FBgn0035791	CG8539
FBgn0035792	CG7548
FBgn0267556	asRNA:CR45896
FBgn0035793	CG7546
FBgn0268063	ltl
FBgn0028582	lqf
FBgn0035795	CG16998
FBgn0052374	CG32374
FBgn0052376	CG32376
FBgn0035797	CG14837
FBgn0035798	frac
FBgn0035799	CG14838
FBgn0035800	CG7716
FBgn0035802	Pura
FBgn0267526	lncRNA:CR45866
FBgn0086074	snoRNA:Me18S-A1806
FBgn0053276	Urm1
FBgn0035805	CG7506
FBgn0052373	CG32373
FBgn0035806	PGRP-SD
FBgn0035807	CG7492
FBgn0261788	Ank2
FBgn0265084	CG44195
FBgn0035811	Mcad
FBgn0035812	CG7457
FBgn0035813	CG8492
FBgn0035815	Snmp2
FBgn0035816	CG13685
FBgn0035817	CG7409
FBgn0001208	Hn
FBgn0023076	Clk
FBgn0052371	CG32371
FBgn0052369	CG32369
FBgn0016694	Pdp1
FBgn0052365	CG32365
FBgn0035823	eIF4E5
FBgn0003041	pbl
FBgn0035824	CG8281
FBgn0035825	CG8111
FBgn0052368	CG32368
FBgn0024187	syd
FBgn0035827	Srp9
FBgn0264472	CG43880
FBgn0041156	exex
FBgn0010406	RNaseX25
FBgn0027554	CG8042
FBgn0035829	HP4
FBgn0035830	CG8209
FBgn0035831	CG8038
FBgn0011817	nmo
FBgn0052370	tRNA:Ala-AGC-2-1
FBgn0026263	bip1
FBgn0267527	asRNA:CR45867
FBgn0267528	asRNA:CR45868
FBgn0052358	tRNA:Leu-CAG-1-2
FBgn0052359	tRNA:Leu-CAG-1-3
FBgn0052360	tRNA:Leu-CAG-1-4
FBgn0262579	Ect4
FBgn0052361	tRNA:Leu-CAG-1-5
FBgn0052362	tRNA:Leu-CAG-1-6
FBgn0052363	tRNA:Leu-CAG-1-7
FBgn0260967	CG42590
FBgn0260968	CG42591
FBgn0264705	lncRNA:CR43974
FBgn0035833	CG7565
FBgn0028379	fan
FBgn0027549	Nulp1
FBgn0262442	mir-2501
FBgn0262716	Arp3
FBgn0026252	msk
FBgn0035838	ldbr
FBgn0035839	CG7550
FBgn0042112	mRpL36
FBgn0029113	Uba2
FBgn0010350	Cds
FBgn0035842	CG7504
FBgn0002899	mus301
FBgn0035844	CG13676
FBgn0259916	CG42445
FBgn0264478	CG43886
FBgn0035845	CG13675
FBgn0040290	RecQ4
FBgn0020392	Nmt
FBgn0035847	mthl7
FBgn0035848	Uxs
FBgn0035849	ERR
FBgn0267529	asRNA:CR45869
FBgn0267530	asRNA:CR45870
FBgn0035850	Atg18a
FBgn0035851	MED24
FBgn0035852	CG7387
FBgn0035853	UbcE2M
FBgn0035854	CG8005
FBgn0035855	CG7366
FBgn0035856	CG13679
FBgn0052364	tut
FBgn0035857	CG8006
FBgn0040832	CG8012
FBgn0035858	CG13674
FBgn0035859	CG13678
FBgn0265089	eIF4E3
FBgn0264604	lncRNA:CR43953
FBgn0035861	CG7213
FBgn0263219	Dscam4
FBgn0027569	cert
FBgn0035865	CG7201
FBgn0015793	Rab19
FBgn0035866	Arl5
FBgn0035867	CG13671
FBgn0035868	CG7194
FBgn0087039	Sbp2
FBgn0035870	Gr66a
FBgn0035871	BI-1
FBgn0266958	lncRNA:CR45409
FBgn0035872	Cpsf6
FBgn0262361	CG43059
FBgn0035873	CG13670
FBgn0250833	CG34461
FBgn0085491	CG34462
FBgn0035875	Cpr66Cb
FBgn0035876	Pex2
FBgn0011762	DNApol-alpha50
FBgn0035877	CG7083
FBgn0035878	CG7182
FBgn0035879	GAPcenA
FBgn0035880	Culd
FBgn0263553	mir-4913
FBgn0001248	Idh
FBgn0001253	ImpE1
FBgn0035886	Jon66Ci
FBgn0035887	Jon66Cii
FBgn0035888	CG7120
FBgn0053057	CG33057
FBgn0035889	mkg-p
FBgn0035890	CG13667
FBgn0265102	Oseg1
FBgn0266667	Exo70
FBgn0010431	mtrm
FBgn0052354	CG32354
FBgn0020224	Cbl
FBgn0263352	Unr
FBgn0035896	CG6983
FBgn0010825	Gug
FBgn0262719	CG43163
FBgn0035900	ZC3H3
FBgn0035901	Pus7
FBgn0035903	CG6765
FBgn0035902	CG6683
FBgn0035904	GstO3
FBgn0086348	se
FBgn0035906	GstO2
FBgn0035907	GstO1
FBgn0024236	foi
FBgn0035909	ergic53
FBgn0260442	rhea
FBgn0264511	lncRNA:CR43910
FBgn0262387	mir-190
FBgn0035911	CG6638
FBgn0262508	CG43078
FBgn0017430	Nelf-E
FBgn0017579	RpL14
FBgn0060292	snoRNA:U49:66Da
FBgn0060291	snoRNA:U49:66Db
FBgn0017429	CG5989
FBgn0035914	CG6282
FBgn0035915	S-Lap1
FBgn0052351	S-Lap2
FBgn0035916	GAPsec
FBgn0035917	Zasp66
FBgn0035918	Cdc6
FBgn0052029	Cpr66D
FBgn0035921	CG13305
FBgn0035922	Pex7
FBgn0000121	Arr2
FBgn0001168	h
FBgn0265719	lncRNA:CR44526
FBgn0011509	SrpRbeta
FBgn0052022	CG32022
FBgn0035923	CG6511
FBgn0264696	CG43965
FBgn0000357	Cp18
FBgn0000355	Cp15
FBgn0000358	Cp19
FBgn0000356	Cp16
FBgn0003149	Prm
FBgn0040828	CG13306
FBgn0265720	lncRNA:CR44527
FBgn0266084	Fhos
FBgn0035924	CG6576
FBgn0035926	Acbp5
FBgn0035928	CG13310
FBgn0035929	CG13311
FBgn0085455	CG34426
FBgn0052023	CG32023
FBgn0085456	CG34427
FBgn0035931	CG13312
FBgn0052024	CG32024
FBgn0035932	CG13308
FBgn0286938	CR46432
FBgn0035933	CG13309
FBgn0263930	dally
FBgn0052026	CG32026
FBgn0267473	lncRNA:CR45823
FBgn0262788	CG43169
FBgn0267531	asRNA:CR45871
FBgn0020633	Mcm7
FBgn0035934	TrpA1
FBgn0052034	tRNA:Thr-AGT-3-1Psi
FBgn0266757	mfr
FBgn0035936	Tsp66E
FBgn0264701	lncRNA:CR43970
FBgn0264305	CG43783
FBgn0264307	orb2
FBgn0040321	GNBP3
FBgn0011787	mRpL12
FBgn0035941	CG13313
FBgn0035942	ValRS-m
FBgn0035943	CG5653
FBgn0035944	CG5021
FBgn0035945	CG5026
FBgn0086706	pix
FBgn0035947	Srp68
FBgn0035948	CG5644
FBgn0035949	CG13314
FBgn0263199	Galk
FBgn0035951	CG5068
FBgn0035952	CG5280
FBgn0016070	smg
FBgn0035953	CG5087
FBgn0035954	Doc3
FBgn0035955	CG5194
FBgn0035956	Doc2
FBgn0028789	Doc1
FBgn0035957	CG5144
FBgn0000116	Argk
FBgn0035959	CG4911
FBgn0035960	CG4942
FBgn0023479	teq
FBgn0043806	CG32032
FBgn0040827	CG13315
FBgn0011206	bol
FBgn0035964	Dhpr
FBgn0035965	Use1
FBgn0263456	nwk
FBgn0263556	mir-4940
FBgn0004244	Rdl
FBgn0035968	Slc45-1
FBgn0035969	CG4476
FBgn0266957	lncRNA:CR45408
FBgn0035970	CG4483
FBgn0035971	CG4477
FBgn0264000	GluRIB
FBgn0035975	PGRP-LA
FBgn0035976	PGRP-LC
FBgn0035977	PGRP-LF
FBgn0035978	UGP
FBgn0052040	CG32040
FBgn0052039	CG32039
FBgn0085484	Pdxk
FBgn0085485	CG34456
FBgn0004379	Klp67A
FBgn0035980	mRRF1
FBgn0035981	CG4452
FBgn0011769	Fdx1
FBgn0001229	Hsp67Bc
FBgn0001228	CG4456
FBgn0001223	Hsp22
FBgn0035982	CG4461
FBgn0001225	Hsp26
FBgn0001227	Hsp67Ba
FBgn0263492	asRNA:CR43481
FBgn0001224	Hsp23
FBgn0001226	Hsp27
FBgn0263494	CR43483
FBgn0263493	CR43482
FBgn0035983	CG4080
FBgn0015218	eIF4E1
FBgn0035985	Cpr67B
FBgn0035986	CG4022
FBgn0035987	Cpsf5
FBgn0035989	Tat
FBgn0035988	CG3982
FBgn0023129	aay
FBgn0015296	Shc
FBgn0005533	RpS17
FBgn0082953	snoRNA:Psi28S-612
FBgn0040305	MTF-1
FBgn0260431	CG42526
FBgn0260859	Bet3
FBgn0267532	asRNA:CR45872
FBgn0035993	Nf-YA
FBgn0053926	CG33926
FBgn0035995	CG3529
FBgn0035996	CG3448
FBgn0266124	ghi
FBgn0035997	phol
FBgn0035999	CG3552
FBgn0267533	asRNA:CR45873
FBgn0035998	CG3437
FBgn0036000	CG3434
FBgn0266101	CG44838
FBgn0011327	Uch-L5
FBgn0036004	Jarid2
FBgn0036005	pall
FBgn0052036	CG32036
FBgn0052037	CG32037
FBgn0036007	path
FBgn0036008	CG3408
FBgn0010408	RpS9
FBgn0267534	asRNA:CR45874
FBgn0086075	snoRNA:Me28S-G3253
FBgn0053703	CG33703
FBgn0053702	CG33702
FBgn0053701	CR33701
FBgn0053700	CG33700
FBgn0036009	Or67a
FBgn0036010	Ir67a
FBgn0261555	CG42673
FBgn0267966	asRNA:CR46246
FBgn0267796	Tmc
FBgn0036014	CG3222
FBgn0036015	CG3088
FBgn0036016	CG3306
FBgn0267348	LanB2
FBgn0036018	CG3335
FBgn0036019	Or67b
FBgn0036020	CG8336
FBgn0016081	fry
FBgn0036022	CG8329
FBgn0036023	CG18179
FBgn0036024	CG18180
FBgn0053696	CNMaR
FBgn0036028	CG16717
FBgn0087040	alphaTub67C
FBgn0036030	CG6767
FBgn0036029	CG16719
FBgn0267454	asRNA:CR45804
FBgn0266596	asRNA:CR45121
FBgn0015321	Ubc4
FBgn0036031	CG6761
FBgn0036032	CG16711
FBgn0040475	SH3PX1
FBgn0045823	vsg
FBgn0065081	snmRNA:838
FBgn0036035	CG18178
FBgn0036036	CG14174
FBgn0261530	nbs
FBgn0036038	defl
FBgn0036039	Naa60
FBgn0019644	ATPsynB
FBgn0036040	CG6749
FBgn0263541	mir-4986
FBgn0259163	CG42268
FBgn0265448	lncRNA:CR44348
FBgn0266956	lncRNA:CR45407
FBgn0036043	CG8177
FBgn0044328	CG32052
FBgn0036044	Zasp67
FBgn0044051	Ilp1
FBgn0036046	Ilp2
FBgn0044050	Ilp3
FBgn0044049	Ilp4
FBgn0264489	CG43897
FBgn0044048	Ilp5
FBgn0028429	I-2
FBgn0015618	Cdk8
FBgn0004390	RasGAP1
FBgn0036052	CG10809
FBgn0036053	iPLA2-VIA
FBgn0027567	CG8108
FBgn0266955	lncRNA:CR45406
FBgn0085411	CG34382
FBgn0011836	Taf2
FBgn0025866	CalpB
FBgn0267535	asRNA:CR45875
FBgn0036056	CG6709
FBgn0036057	Hez
FBgn0036058	CG6707
FBgn0286833	CG46387
FBgn0036059	nudE
FBgn0085385	bma
FBgn0036062	CG6685
FBgn0026404	Dronc
FBgn0036063	CG6674
FBgn0263251	vnc
FBgn0259932	CG42455
FBgn0040823	dpr6
FBgn0267536	lncRNA:CR45876
FBgn0267537	lncRNA:CR45877
FBgn0266648	lncRNA:CR45155
FBgn0267538	lncRNA:CR45878
FBgn0036066	CG14160
FBgn0052053	CG32053
FBgn0052054	CG32054
FBgn0262007	CG42825
FBgn0262008	CG42826
FBgn0267539	CR45879
FBgn0052057	dpr10
FBgn0086076	snoRNA:MeU2-A31
FBgn0036070	CG8072
FBgn0036072	CG6628
FBgn0000451	ect
FBgn0286739	snoRNA:Me28S-C993
FBgn0265731	lncRNA:CR44538
FBgn0036075	CG8065
FBgn0052055	CG32055
FBgn0052056	scramb1
FBgn0265735	lncRNA:CR44542
FBgn0266952	lncRNA:CR45403
FBgn0265734	lncRNA:CR44541
FBgn0036078	Or67c
FBgn0265732	lncRNA:CR44539
FBgn0265733	lncRNA:CR44540
FBgn0011569	can
FBgn0266777	lncRNA:CR45242
FBgn0036080	Or67d
FBgn0267665	lncRNA:CR46003
FBgn0267666	lncRNA:CR46004
FBgn0262381	mir-276b
FBgn0267668	lncRNA:CR46006
FBgn0266076	mir-276a
FBgn0266780	lncRNA:CR45245
FBgn0265736	lncRNA:CR44543
FBgn0264722	lncRNA:CR43990
FBgn0036082	CG12362
FBgn0036083	Ir67b
FBgn0052058	Ir67c
FBgn0011802	Gem3
FBgn0052061	CG32061
FBgn0045770	S-Lap3
FBgn0286933	CG46430
FBgn0052062	Rbfox1
FBgn0052064	S-Lap4
FBgn0286730	snoRNA:Me28S-A2629
FBgn0036085	CG6527
FBgn0267932	lncRNA:CR46212
FBgn0260396	CG42521
FBgn0262592	CG43127
FBgn0085267	CG34238
FBgn0036089	CG14151
FBgn0260644	CG42536
FBgn0260643	CG42535
FBgn0001179	hay
FBgn0054001	CG34001
FBgn0000629	E(z)
FBgn0036090	CG8009
FBgn0036091	CG18628
FBgn0052066	CG32066
FBgn0036093	CG14154
FBgn0036094	CG14153
FBgn0036096	CG8003
FBgn0052068	Adi1
FBgn0010762	simj
FBgn0036099	CG11811
FBgn0053493	CG33493
FBgn0047038	ND-13B
FBgn0036101	NijA
FBgn0262890	CG43245
FBgn0265737	lncRNA:CR44544
FBgn0265738	lncRNA:CR44545
FBgn0265739	lncRNA:CR44546
FBgn0267950	lncRNA:CR46230
FBgn0267951	lncRNA:CR46231
FBgn0036102	CG12523
FBgn0265447	lncRNA:CR44347
FBgn0262020	CG42831
FBgn0266782	lncRNA:CR45247
FBgn0266781	lncRNA:CR45246
FBgn0026160	tna
FBgn0266679	lncRNA:CR45169
FBgn0036104	CG6418
FBgn0036105	Blos4
FBgn0036106	CG6409
FBgn0036107	galla-2
FBgn0027615	OXA1L
FBgn0036108	Cpr67Fa1
FBgn0036109	Cpr67Fa2
FBgn0266681	asRNA:CR45171
FBgn0036110	Cpr67Fb
FBgn0036111	Aps
FBgn0266783	lncRNA:CR45248
FBgn0266784	lncRNA:CR45249
FBgn0036112	CG14147
FBgn0267309	lncRNA:CR45745
FBgn0013469	klu
FBgn0086077	snoRNA:Me18S-G962
FBgn0029172	Fad2
FBgn0052079	CG32079
FBgn0052081	CG32081
FBgn0265740	lncRNA:CR44547
FBgn0263776	CG43693
FBgn0266594	lncRNA:CR45119
FBgn0036116	CG7888
FBgn0036117	CG6321
FBgn0036118	Blos2
FBgn0052069	CG32069
FBgn0052075	CG32075
FBgn0266540	CG45101
FBgn0025355	SuUR
FBgn0036121	CG6310
FBgn0263241	Mocs1
FBgn0010741	Pfdn2
FBgn0036124	CG7839
FBgn0020412	JIL-1
FBgn0036125	Iyd
FBgn0083068	CG33947
FBgn0036126	Irbp18
FBgn0261112	APP-BP1
FBgn0036128	Elo68beta
FBgn0052072	Elo68alpha
FBgn0052071	CG32071
FBgn0052073	CG32073
FBgn0036131	CG12522
FBgn0054012	CG34012
FBgn0036133	CG7638
FBgn0003462	Sod1
FBgn0036134	FoxK
FBgn0036135	mRpL2
FBgn0036136	Ufd1-like
FBgn0260795	NaPi-III
FBgn0014368	nol
FBgn0052074	CG32074
FBgn0036138	CG14143
FBgn0052082	IRSp53
FBgn0036139	CG6216
FBgn0264721	lncRNA:CR43989
FBgn0052076	Alg10
FBgn0036141	wls
FBgn0036142	CG7616
FBgn0036143	CG14142
FBgn0036144	GlcAT-P
FBgn0036147	Plod
FBgn0036145	CG7607
FBgn0036146	CG14141
FBgn0061469	Ube3a
FBgn0064766	CG7600
FBgn0261553	CG42671
FBgn0267717	asRNA:CR46050
FBgn0266954	lncRNA:CR45405
FBgn0036150	Ir68a
FBgn0265929	lncRNA:CR44718
FBgn0265930	lncRNA:CR44719
FBgn0265925	lncRNA:CR44714
FBgn0265924	lncRNA:CR44713
FBgn0265926	lncRNA:CR44715
FBgn0265928	lncRNA:CR44717
FBgn0265927	lncRNA:CR44716
FBgn0041094	scyl
FBgn0265931	lncRNA:CR44720
FBgn0266953	lncRNA:CR45404
FBgn0036152	CG6175
FBgn0036153	CG7573
FBgn0265468	lncRNA:CR44361
FBgn0267960	lncRNA:CR46240
FBgn0036154	CG6168
FBgn0265932	lncRNA:CR44721
FBgn0265933	lncRNA:CR44722
FBgn0265934	lncRNA:CR44723
FBgn0266785	lncRNA:CR45250
FBgn0266786	lncRNA:CR45251
FBgn0036155	CG6163
FBgn0266396	lncRNA:CR45036
FBgn0261813	lncRNA:CR42755
FBgn0036156	CG11726
FBgn0265469	CG44362
FBgn0265470	lncRNA:CR44363
FBgn0036157	CG7560
FBgn0036158	CG6149
FBgn0265741	lncRNA:CR44548
FBgn0265742	lncRNA:CR44549
FBgn0036159	CG7557
FBgn0036160	CG12289
FBgn0036161	CG7551
FBgn0036162	Fum3
FBgn0028667	Vha16-3
FBgn0267716	asRNA:CR46049
FBgn0028668	Vha16-2
FBgn0036165	chrb
FBgn0053500	CG33500
FBgn0003378	Sgs8
FBgn0003377	Sgs7
FBgn0053272	CG33272
FBgn0003373	Sgs3
FBgn0036168	CG7512
FBgn0036170	CG11714
FBgn0285958	Fuca
FBgn0259481	Mob2
FBgn0263569	mir-4968
FBgn0036173	CG7394
FBgn0286893	CG46412
FBgn0053267	CG33267
FBgn0053490	CG33490
FBgn0053489	CG33489
FBgn0053271	CG33271
FBgn0053270	CG33270
FBgn0263247	CG43390
FBgn0263248	CG43391
FBgn0053269	CG33269
FBgn0052086	CG32086
FBgn0003292	rt
FBgn0036176	CG7377
FBgn0036177	CG33268
FBgn0267232	lncRNA:CR45672
FBgn0266991	lncRNA:CR45442
FBgn0267231	lncRNA:CR45671
FBgn0266992	lncRNA:CR45443
FBgn0036179	CG7368
FBgn0286914	lncRNA:CR46414
FBgn0036178	CG14137
FBgn0286872	CG46394
FBgn0036180	Duba
FBgn0262021	CG42832
FBgn0036181	Muc68Ca
FBgn0086254	CG6084
FBgn0036183	CG6083
FBgn0036184	PCID2
FBgn0042138	CG18815
FBgn0263632	mir-3642
FBgn0052091	CG32091
FBgn0266651	lncRNA:CR45158
FBgn0036186	CG6071
FBgn0036187	RIOK1
FBgn0036188	CG7339
FBgn0052085	CG32085
FBgn0262437	mir-274
FBgn0267541	lncRNA:CR45881
FBgn0267540	lncRNA:CR45880
FBgn0267543	lncRNA:CR45883
FBgn0267542	asRNA:CR45882
FBgn0267544	lncRNA:CR45884
FBgn0015828	TfIIEalpha
FBgn0036191	Sugb
FBgn0267545	asRNA:CR45885
FBgn0036192	Pldn
FBgn0036193	CG14135
FBgn0264479	lncRNA:CR43887
FBgn0036194	Dph1
FBgn0036195	Dnai2
FBgn0036196	CG11658
FBgn0261353	Ccdc56
FBgn0261381	mtTFB1
FBgn0036198	crim
FBgn0040817	CG14132
FBgn0036199	Bmcp
FBgn0052088	sunn
FBgn0052087	CG32087
FBgn0036202	CG6024
FBgn0041231	Gr68a
FBgn0036203	Muc68D
FBgn0262396	mir-314
FBgn0262291	mir-956
FBgn0036204	Tim13
FBgn0015278	Pi3K68D
FBgn0036205	CG14131
FBgn0036206	CG5964
FBgn0036207	CG10907
FBgn0004381	Klp68D
FBgn0036208	CG10361
FBgn0052093	tRNA:Gln-TTG-1-1
FBgn0259140	CG42255
FBgn0036210	CG14130
FBgn0036211	CG5946
FBgn0036212	CG11597
FBgn0036213	RpL10Ab
FBgn0083015	snoRNA:Psi18S-920
FBgn0052095	CG32095
FBgn0000404	CycA
FBgn0036214	CG7264
FBgn0262366	CG43064
FBgn0040816	CG12521
FBgn0266100	CG44837
FBgn0036217	CG5906
FBgn0036218	Sprn
FBgn0036219	CCDC151
FBgn0036220	CG5897
FBgn0286731	snoRNA:Or-ACA8
FBgn0263615	lncRNA:CR43624
FBgn0036221	CG11588
FBgn0036222	SdhAL
FBgn0011723	byn
FBgn0036224	Rpt4R
FBgn0036225	CG5883
FBgn0262401	mir-285
FBgn0036226	CG7252
FBgn0036227	CG17826
FBgn0036228	obst-G
FBgn0036229	CG7248
FBgn0036230	CG11570
FBgn0262986	CG43294
FBgn0028573	prc
FBgn0053265	Muc68E
FBgn0259748	CG42397
FBgn0036232	CG14125
FBgn0264488	CG43896
FBgn0036235	CG6938
FBgn0036236	CG6931
FBgn0036237	viaf
FBgn0026432	Grip163
FBgn0036239	Pop2
FBgn0036240	CG6928
FBgn0041096	rols
FBgn0264726	lncRNA:CR43994
FBgn0264725	CG43993
FBgn0036242	CG6793
FBgn0263647	CG43638
FBgn0284221	Sema5c
FBgn0036246	CG17154
FBgn0011335	vers
FBgn0036248	ssp
FBgn0036249	CG11560
FBgn0022959	yps
FBgn0036250	Ir68b
FBgn0250825	CG34241
FBgn0017424	asRNA:CR11538
FBgn0002565	Lsp2
FBgn0046296	CG11534
FBgn0267552	asRNA:CR45892
FBgn0036254	CG5645
FBgn0036255	Atg12
FBgn0011455	ND-SGDH
FBgn0036257	RhoGAP68F
FBgn0036258	eIF3l
FBgn0013997	Nrx-IV
FBgn0052099	CG32099
FBgn0036259	CG9760
FBgn0036260	Rh7
FBgn0027843	CAH2
FBgn0036262	CG6910
FBgn0000592	Est-6
FBgn0036263	thoc6
FBgn0000594	Est-P
FBgn0267310	lncRNA:CR45746
FBgn0036264	CG11529
FBgn0022709	Adk1
FBgn0036266	CG5626
FBgn0260941	app
FBgn0264723	lncRNA:CR43991
FBgn0052100	CG32100
FBgn0036271	Pbgs
FBgn0036272	Sms
FBgn0036273	INPP5E
FBgn0267961	lncRNA:CR46241
FBgn0267218	lncRNA:CR45658
FBgn0036274	CG4328
FBgn0265743	lncRNA:CR44550
FBgn0265744	lncRNA:CR44551
FBgn0265455	CG44355
FBgn0052105	Lmx1a
FBgn0036277	CG10418
FBgn0266993	lncRNA:CR45444
FBgn0036278	CrzR
FBgn0036279	Ncc69
FBgn0267474	lncRNA:CR45824
FBgn0052104	CG32104
FBgn0011279	Obp69a
FBgn0036282	Smyd4-2
FBgn0052103	SCaMC
FBgn0020655	ArfGAP1
FBgn0036285	toe
FBgn0000625	eyg
FBgn0052102	CG32102
FBgn0036286	CG10616
FBgn0036287	CG10663
FBgn0053725	CG33725
FBgn0036288	CG10660
FBgn0267241	lncRNA:CR45681
FBgn0036289	CG10657
FBgn0267242	asRNA:CR45682
FBgn0036290	CG10638
FBgn0264460	asRNA:CR43868
FBgn0036291	CG10681
FBgn0036292	CG10646
FBgn0264848	vih
FBgn0036294	CG10654
FBgn0002466	sti
FBgn0266678	lncRNA:CR45168
FBgn0041775	tral
FBgn0020388	Gcn5
FBgn0262524	ver
FBgn0004926	eIF2beta
FBgn0036298	nst
FBgn0036299	Tsf2
FBgn0085271	CG34242
FBgn0036300	Pmm2
FBgn0036301	CG4069
FBgn0036302	sowah
FBgn0263587	lncRNA:CR43612
FBgn0015904	ara
FBgn0015919	caup
FBgn0052111	lncRNA:CR32111
FBgn0263379	lncRNA:CR43431
FBgn0265746	lncRNA:CR44553
FBgn0265745	lncRNA:CR44552
FBgn0014343	mirr
FBgn0261933	SmD1
FBgn0014007	Ptp69D
FBgn0052112	CG32112
FBgn0052109	CG32109
FBgn0010235	Klc
FBgn0036305	CG10984
FBgn0036306	CG10973
FBgn0052113	Vps13D
FBgn0036309	Hip1
FBgn0052106	CG32106
FBgn0036310	CG10969
FBgn0036311	CG17666
FBgn0260945	Atg1
FBgn0261674	CG42709
FBgn0262714	Sap130
FBgn0267984	asRNA:CR46251
FBgn0052110	CG32110
FBgn0036314	Sf3a2
FBgn0260965	CG42588
FBgn0036316	CG10960
FBgn0036317	CG10948
FBgn0036318	Wbp2
FBgn0036319	Ent3
FBgn0052107	CG32107
FBgn0036320	CG10943
FBgn0036321	CG14120
FBgn0267312	lncRNA:CR45748
FBgn0264486	CG43894
FBgn0036323	CG14118
FBgn0036324	CG12520
FBgn0052117	CG32117
FBgn0052115	CG32115
FBgn0036325	CG10752
FBgn0041622	Or69a
FBgn0036327	CG10748
FBgn0036328	CG10749
FBgn0036329	CG11262
FBgn0036330	CG11263
FBgn0036331	CG14117
FBgn0036332	Cul6
FBgn0036333	MICAL-like
FBgn0036334	CG11267
FBgn0036335	mRpL20
FBgn0036336	ste14
FBgn0266994	asRNA:CR45445
FBgn0036337	AdenoK
FBgn0286213	RpS12
FBgn0086078	snoRNA:Me28S-A774b
FBgn0086079	snoRNA:Me28S-A774a
FBgn0266709	Zmynd10
FBgn0266682	lncRNA:CR45172
FBgn0083978	CG17672
FBgn0266650	lncRNA:CR45157
FBgn0036340	SRm160
FBgn0011284	RpS4
FBgn0082967	snoRNA:Psi28S-3327a
FBgn0082966	snoRNA:Psi28S-3327b
FBgn0086601	snoRNA:Psi28S-3327c
FBgn0036341	Syx13
FBgn0036342	CG11279
FBgn0036343	CG14115
FBgn0085457	CG34428
FBgn0085458	CG34429
FBgn0263661	lncRNA:CR43652
FBgn0036345	CG17300
FBgn0267313	lncRNA:CR45749
FBgn0036346	CG11251
FBgn0265747	lncRNA:CR44554
FBgn0010452	trn
